#,Entry Time (UTC),Exit Time (UTC),Side,Qty,Entry Price,Exit Price,Gross Entry,Gross Exit,Commission,PnL,PnL%,Hold Hours,Hold Days
1,2026-04-13 14:00,2026-04-17 18:00,LONG,366,0.068140,0.124350,24.94,45.51,0.0910,20.48,82.13%,100.0,4.2
2,2026-05-10 16:00,2026-05-13 14:00,LONG,424,0.107060,0.090470,45.39,38.36,0.0767,-7.11,-15.66%,70.0,2.9
3,2026-05-30 15:00,2026-06-02 15:00,LONG,515,0.074430,0.066510,38.33,34.25,0.0685,-4.15,-10.82%,72.0,3.0
