#,Entry Time,Exit Time,Side,Qty,Entry Price,Exit Price,Commission,PnL,PnL%,Hold Hours
1,2025-06-16 18:00,2025-06-26 10:00,SHORT,0.08838360344603018,107486.000000,107392.100000,19.0000,8.30,0.09%,232.0
2,2025-06-26 11:00,2025-07-22 15:00,LONG,0.08824187387333719,107544.000000,119954.900000,18.9798,1095.16,11.54%,628.0
3,2025-07-22 16:00,2025-07-29 13:00,SHORT,0.08792301032622263,119552.900000,117592.000000,21.0229,172.41,1.64%,165.0
4,2025-07-29 14:00,2025-07-31 20:00,LONG,0.09041819281753741,117846.000000,115699.100000,21.3108,-194.12,-1.82%,54.0
5,2025-07-31 21:00,2025-08-09 14:00,SHORT,0.09043084547322938,115568.500000,116547.100000,20.9019,-88.50,-0.85%,209.0
6,2025-08-09 15:00,2025-08-18 01:00,LONG,0.08883778511189844,116470.000000,115052.000000,20.6939,-125.97,-1.22%,202.0
7,2025-08-18 02:00,2025-09-05 06:00,SHORT,0.0887102886730364,115068.000000,110564.100000,20.4154,399.54,3.91%,436.0
8,2025-09-05 07:00,2025-09-22 11:00,LONG,0.09545427643987109,110712.300000,112120.000000,21.1359,134.37,1.27%,412.0
9,2025-09-22 12:00,2025-10-01 13:00,SHORT,0.09465222982387782,112785.500000,117563.900000,21.3508,-452.29,-4.24%,217.0
10,2025-10-01 14:00,2025-10-11 09:00,LONG,0.08682941219707395,117759.800000,112007.000000,20.4500,-499.51,-4.89%,235.0
11,2025-10-11 10:00,2025-10-25 09:00,SHORT,0.08691507095234545,111966.000000,111386.700000,19.4631,50.35,0.52%,335.0
12,2025-10-25 10:00,2025-11-01 01:00,LONG,0.08736530485623839,111725.300000,109989.900000,19.5218,-151.61,-1.55%,159.0
13,2025-11-01 02:00,2025-11-28 10:00,SHORT,0.0871363573139295,110154.900000,90825.100000,19.1970,1684.33,17.55%,656.0
14,2025-11-28 11:00,2025-12-08 13:00,LONG,0.12268099270346637,91146.800000,91304.100000,22.3640,19.30,0.17%,242.0
15,2025-12-08 14:00,2025-12-09 22:00,SHORT,0.12308678232335739,90822.400000,92701.700000,22.3581,-231.32,-2.07%,32.0
16,2025-12-09 23:00,2025-12-14 04:00,LONG,0.11788507258485416,92784.900000,89418.500000,21.8759,-396.85,-3.63%,101.0
17,2025-12-14 05:00,2025-12-24 20:00,SHORT,0.11779048825124688,89484.100000,87785.900000,21.0808,200.03,1.90%,255.0
18,2025-12-24 21:00,2025-12-26 13:00,LONG,0.12205928915362059,87749.000000,87463.900000,21.4212,-34.80,-0.32%,40.0
19,2025-12-26 14:00,2025-12-27 11:00,SHORT,0.12173957743977859,87541.000000,87574.000000,21.3144,-4.02,-0.04%,21.0
20,2025-12-27 12:00,2025-12-30 01:00,LONG,0.12143301083987547,87563.700000,87986.000000,21.2662,51.28,0.48%,61.0
21,2025-12-30 02:00,2025-12-30 22:00,SHORT,0.12121903327765225,87953.000000,88513.000000,21.3232,-67.88,-0.64%,20.0
22,2025-12-30 23:00,2025-12-31 03:00,SHORT,0.11935774011108725,88614.200000,89017.100000,21.1536,-48.09,-0.45%,4.0
23,2025-12-31 04:00,2026-01-12 21:00,LONG,0.11839603610900386,88778.200000,91924.500000,21.0220,372.51,3.54%,305.0
24,2026-01-12 22:00,2026-01-13 07:00,SHORT,0.11764671910339776,92179.100000,93455.900000,21.6891,-150.21,-1.39%,9.0
25,2026-01-13 08:00,2026-01-21 01:00,LONG,0.11436880786894503,93392.000000,89103.900000,21.3623,-490.42,-4.59%,185.0
26,2026-01-21 02:00,2026-02-16 21:00,SHORT,0.1142388051947929,89247.900000,68241.900000,20.3911,2399.70,23.54%,643.0
27,2026-02-16 22:00,2026-02-18 07:00,LONG,0.18213499124046323,68400.600000,67695.900000,24.9163,-128.35,-1.03%,33.0
28,2026-02-18 08:00,2026-03-01 05:00,SHORT,0.18338065522727268,67143.300000,66948.100000,24.6256,35.80,0.29%,261.0
29,2026-03-01 06:00,2026-03-01 14:00,LONG,0.184332067048201,66854.500000,65262.800000,24.6469,-293.40,-2.38%,8.0
30,2026-03-01 15:00,2026-03-03 16:00,SHORT,0.1827844286134107,65770.600000,68093.300000,24.0437,-424.55,-3.53%,49.0
31,2026-03-03 17:00,2026-03-10 02:00,LONG,0.16947259725336103,68414.200000,70769.900000,23.1887,399.23,3.44%,153.0
32,2026-03-10 03:00,2026-03-10 12:00,SHORT,0.16926577715517194,70601.200000,70235.200000,23.9007,61.95,0.52%,9.0
33,2026-03-10 13:00,2026-03-21 13:00,LONG,0.17181170527710818,69757.900000,70355.000000,23.9704,102.59,0.86%,264.0
34,2026-03-21 14:00,2026-04-06 17:00,SHORT,0.17157371811174363,70289.400000,68400.000000,24.1196,324.17,2.69%,387.0
35,2026-04-06 18:00,2026-04-30 13:00,LONG,0.17975753809765949,68676.700000,76243.700000,24.6903,1360.23,11.02%,571.0
36,2026-04-30 14:00,2026-05-03 11:00,SHORT,0.17854139042876332,76243.500000,78768.200000,27.2252,-450.76,-3.31%,69.0
37,2026-05-03 12:00,2026-05-15 12:00,LONG,0.16673808609218532,78914.700000,79126.000000,26.3162,35.23,0.27%,288.0
