#,Entry Time (UTC),Exit Time (UTC),Side,Qty,Entry Price,Exit Price,Gross Entry,Gross Exit,Commission,PnL,PnL%,Hold Hours,Hold Days
1,2025-12-28 01:00,2026-01-05 10:00,LONG,15,1.604000,1.857000,24.06,27.86,0.0557,3.74,15.54%,201.0,8.4
2,2026-02-14 16:00,2026-02-20 12:00,LONG,19,1.500000,1.345000,28.50,25.55,0.0511,-3.00,-10.51%,140.0,5.8
3,2026-05-04 04:00,2026-05-09 04:00,LONG,18,1.379000,2.613000,24.82,47.03,0.0941,22.12,89.11%,120.0,5.0
