timestamp,open,high,low,close,volume
2025-06-25 04:00:00,2444.3,2455.68,2421.01,2436.66,394514379.918871
2025-06-25 08:00:00,2436.66,2447.76,2408.9,2429.01,160422209.809953
2025-06-25 12:00:00,2428.9,2445.0,2391.2,2405.62,29016804.955252
2025-06-25 16:00:00,2405.62,2439.0,2401.71,2432.61,8052019.229547
2025-06-25 20:00:00,2432.71,2453.72,2408.22,2418.47,21376961.641013
2025-06-26 00:00:00,2418.55,2519.86,2417.1,2489.06,48399769.854273
2025-06-26 04:00:00,2489.06,2500.07,2468.04,2489.81,39756795.420708
2025-06-26 08:00:00,2489.81,2500.36,2441.71,2450.37,106226480.922493
2025-06-26 12:00:00,2450.39,2459.43,2401.42,2433.7,123518633.515405
2025-06-26 16:00:00,2433.54,2443.06,2418.32,2435.41,31775.632291
2025-06-26 20:00:00,2435.57,2457.38,2396.62,2416.14,27304.915445
2025-06-27 00:00:00,2415.41,2448.38,2383.04,2446.57,30903.727025
2025-06-27 04:00:00,2447.25,2459.31,2434.46,2441.92,22076.330309
2025-06-27 08:00:00,2441.92,2465.18,2435.72,2447.5,24227.127981
2025-06-27 12:00:00,2447.51,2456.84,2406.92,2406.93,41806339.905935
2025-06-27 16:00:00,2406.92,2423.16,2388.6,2412.5,106445847.446193
2025-06-27 20:00:00,2412.5,2429.54,2411.34,2423.11,12020878.190344
2025-06-28 00:00:00,2423.1,2423.98,2406.17,2420.91,26059.338858
2025-06-28 04:00:00,2420.91,2433.75,2413.0,2431.79,123773932.331322
2025-06-28 08:00:00,2431.85,2432.5,2419.91,2427.65,6097.716755
2025-06-28 12:00:00,2427.65,2442.02,2420.1,2435.79,14918.847315
2025-06-28 16:00:00,2436.1,2447.8,2431.46,2433.35,18886.404825
2025-06-28 20:00:00,2433.36,2442.29,2427.83,2435.77,7995.998541
2025-06-29 00:00:00,2435.96,2443.06,2425.28,2427.96,252620.145311
2025-06-29 04:00:00,2428.5,2440.0,2426.82,2439.93,6390.296771
2025-06-29 08:00:00,2439.94,2463.11,2436.99,2462.1,10952.817817
2025-06-29 12:00:00,2462.1,2463.26,2433.55,2436.91,20027.430698
2025-06-29 16:00:00,2436.64,2442.7,2429.9,2438.1,12091.806357
2025-06-29 20:00:00,2438.19,2524.61,2413.05,2500.57,60454.786254
2025-06-30 00:00:00,2500.57,2523.71,2495.75,2499.68,256678.4234
2025-06-30 04:00:00,2499.65,2505.55,2457.67,2480.87,30672.509915
2025-06-30 08:00:00,2480.87,2486.66,2445.62,2458.68,21095.144274
2025-06-30 12:00:00,2458.52,2489.13,2435.0,2474.71,70038.43166
2025-06-30 16:00:00,2474.71,2518.26,2462.09,2516.99,53369.894452
2025-06-30 20:00:00,2515.67,2521.93,2482.55,2485.3,21410.605837
2025-07-01 00:00:00,2485.3,2510.91,2477.34,2485.28,23167.092762
2025-07-01 04:00:00,2485.68,2486.07,2446.19,2464.81,31434.188584
2025-07-01 08:00:00,2465.11,2467.67,2444.03,2449.43,19119.655671
